trade_date,fetched_at,ticker,pct_change,premkt_price,pre_volume,market_cap,is_baseline
2026-09-24,2026-09-24T06:40:24.348713-04:00,GCTK,107.39,4.21,11095653.0,1.62M,1
2026-09-24,2026-09-24T06:40:24.348713-04:00,WETO,59.31,2.31,6901216.0,1.19M,1
2026-09-24,2026-09-24T06:40:24.348713-04:00,DCX,42.78,0.1,311541637.0,51.90M,1
2026-09-24,2026-09-24T06:40:24.348713-04:00,SPHL,30.1,3.0,7402140.0,28.28M,1
2026-09-24,2026-09-24T06:40:24.348713-04:00,ATYR,27.93,0.48,45121989.0,36.80M,1
2026-09-24,2026-09-24T06:40:24.348713-04:00,GRML,22.07,13.66,3435681.0,53.82M,1
2026-09-24,2026-09-24T06:40:24.348713-04:00,UXIN,18.35,1.29,8231953.0,239.78M,1
2026-09-24,2026-09-24T06:40:24.348713-04:00,MINE,13.73,3.23,1200.0,189.10M,1
2026-09-24,2026-09-24T06:40:24.348713-04:00,NCPL,12.5,1.17,5916940.0,8.16M,1
2026-09-24,2026-09-24T06:40:24.348713-04:00,CTSO,11.81,5.49,1484.0,15.43M,1
2026-09-24,2026-09-24T06:42:24.608219-04:00,GCTK,98.52,4.03,11387084.0,1.62M,1
2026-09-24,2026-09-24T06:42:24.608219-04:00,WETO,68.28,2.44,7678243.0,1.19M,1
2026-09-24,2026-09-24T06:42:24.608219-04:00,DCX,49.18,0.11,314725133.0,51.90M,1
2026-09-24,2026-09-24T06:42:24.608219-04:00,SPHL,30.1,3.0,7427363.0,28.28M,1
2026-09-24,2026-09-24T06:42:24.608219-04:00,GRML,22.07,13.66,3435681.0,53.82M,1
2026-09-24,2026-09-24T06:42:24.608219-04:00,UXIN,16.97,1.28,8309688.0,239.78M,1
2026-09-24,2026-09-24T06:42:24.608219-04:00,MINE,13.73,3.23,1200.0,189.10M,1
2026-09-24,2026-09-24T06:42:24.608219-04:00,NCPL,12.5,1.17,5916940.0,8.16M,1
2026-09-24,2026-09-24T06:42:24.608219-04:00,CTSO,11.81,5.49,1484.0,15.43M,1
2026-09-24,2026-09-24T06:42:24.608219-04:00,DKI,11.24,2.87,3115.0,3.25M,1
2026-09-24,2026-09-24T06:44:24.934597-04:00,GCTK,98.52,4.03,11477716.0,1.62M,1
2026-09-24,2026-09-24T06:44:24.934597-04:00,WETO,62.76,2.36,8160253.0,1.19M,1
2026-09-24,2026-09-24T06:44:24.934597-04:00,DCX,45.37,0.11,318801909.0,51.90M,1
2026-09-24,2026-09-24T06:44:24.934597-04:00,SPHL,30.53,3.01,7437096.0,28.28M,1
2026-09-24,2026-09-24T06:44:24.934597-04:00,GRML,22.16,13.67,3453960.0,53.82M,1
2026-09-24,2026-09-24T06:44:24.934597-04:00,ATYR,20.71,0.45,50706639.0,36.80M,1
2026-09-24,2026-09-24T06:44:24.934597-04:00,UXIN,18.35,1.29,8309688.0,239.78M,1
2026-09-24,2026-09-24T06:44:24.934597-04:00,NCPL,13.94,1.19,5982634.0,8.16M,1
2026-09-24,2026-09-24T06:44:24.934597-04:00,MINE,13.73,3.23,1200.0,189.10M,1
